no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
1,0,12,Y(Y),4,N,N,0.6857,0.4736,4,Y,Y,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
2,1,36,Y(Y),6,Y,Y,0.975,0.6315,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
3,2,31,Y(Y),5,N,N,0.8928,0.9473,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
4,3,20,Y(Y),6,N,Y,0.6653,1,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
5,4,19,Y(Y),6,Y,Y,0.9464,0.4736,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
6,5,18,Y(Y),6,N,Y,0.9285,1,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
7,6,17,Y(Y),6,N,Y,0.3857,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
8,7,15,Y(Y),6,N,Y,0.6192,0.8611,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
9,8,15,Y(Y),6,N,Y,0.3692,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
10,9,12,Y(Y),6,N,Y,0.3892,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
11,10,12,Y(Y),6,N,Y,0.2461,0.6842,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
12,11,11,Y(Y),6,N,Y,0.5464,0.8684,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
13,12,11,Y(Y),6,N,Y,0.2769,0.8947,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
14,13,10,Y(Y),6,N,Y,0.65,0.7894,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
15,14,10,Y(Y),6,N,N,0.4538,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
16,15,8,Y(Y),6,N,Y,0.6285,0.9473,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
17,16,8,Y(Y),6,N,Y,0.3538,0.7894,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
18,17,8,Y(Y),6,N,Y,0.3115,0.9473,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
19,18,7,Y(Y),6,N,Y,0.4423,0.8684,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
20,19,7,Y(Y),6,N,Y,0.4115,0.8157,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
21,20,7,Y(Y),6,N,Y,0.3961,0.8157,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
22,21,6,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
23,22,5,Y(Y),6,N,Y,0.4407,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
24,23,4,Y(Y),6,N,Y,0.5269,1,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
25,24,4,Y(Y),6,N,Y,0.3961,0.8157,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
26,25,4,Y(Y),6,N,Y,0.35,0.6315,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
27,26,4,Y(Y),6,N,N,0.4,0.8157,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
28,27,3,Y(Y),6,N,Y,0.6423,1,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
29,28,3,Y(Y),6,N,Y,0.4115,0.6578,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
30,29,3,Y(Y),6,N,Y,0.4,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
31,30,3,Y(Y),6,N,Y,0.323,0.8611,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
32,31,2,Y(Y),6,N,Y,0.7703,0.9473,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
33,32,2,Y(Y),6,N,Y,0.6714,0.9473,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
34,33,2,Y(Y),6,N,Y,0.45,0.9736,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
35,34,2,Y(Y),6,N,Y,0.4346,0.7631,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
36,35,2,Y(Y),6,N,Y,0.4192,0.8684,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
37,36,2,Y(Y),6,N,Y,0.4076,0.7105,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
38,37,2,Y(Y),6,N,Y,0.3807,0.7105,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
39,38,2,Y(Y),6,N,Y,0.3269,0.6578,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
40,39,2,Y(Y),6,N,N,0.4346,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
41,40,1,Y(Y),6,Y,Y,0.95,0.875,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
42,41,1,Y(Y),6,Y,Y,0.9,0.7894,4,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
43,42,1,Y(Y),6,N,Y,0.6571,0.9736,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
44,43,1,Y(Y),6,N,Y,0.5642,0.8157,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
45,44,1,Y(Y),6,N,Y,0.4423,0.8684,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
46,45,1,Y(Y),6,N,Y,0.4192,1,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
47,46,1,Y(Y),6,N,Y,0.3928,0.1578,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
48,47,1,Y(Y),6,N,Y,0.3653,0.7105,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
49,48,1,Y(Y),6,N,Y,0.3576,0.8684,2,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
50,49,1,Y(Y),6,N,N,0.6785,0.9473,3,Y,N,MAT2011-03-00,선형대수와그응용 (Linear Algebra and Its Applications),2024,2
