no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
1,1,36,Y(Y),1,N,Y,0.75,0.9027,4,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
2,2,35,Y(Y),4,N,Y,0.8785,0.1578,4,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
3,3,12,Y(Y),6,Y,N,1,0.8947,4,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
4,4,12,Y(Y),6,N,Y,0.3576,0.6578,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
5,5,10,Y(Y),6,N,Y,0.6807,0.9736,3,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
6,6,10,Y(Y),6,N,Y,0.4115,0.8157,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
7,7,7,Y(Y),6,N,N,0.4928,0.9736,3,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
8,8,6,Y(Y),6,Y,N,0.9,1,4,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
9,9,6,Y(Y),6,N,Y,0.2428,0.8947,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
10,10,6,Y(Y),6,N,N,0.55,0.9736,3,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
11,11,5,Y(Y),6,N,Y,0.8142,0.9473,4,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
12,12,5,Y(Y),6,N,Y,0.5,0.9736,3,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
13,13,5,Y(Y),6,N,Y,0.4423,0.9736,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
14,14,5,Y(Y),6,N,Y,0.3153,0.6578,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
15,15,4,Y(Y),6,N,Y,0.3071,0.8684,3,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
16,16,3,Y(Y),6,N,Y,0.4285,0.9736,2,Y,N,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2,김현정,김현정,"월1,2,3",80.0,80.0,4.47,47.0
