no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
,,,,,,,,,,,,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
1,1,36,Y(Y),5,Y,Y,0.9214,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
2,2,34,Y(Y),6,Y,Y,0.9714,0.5263,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
3,3,30,Y(Y),6,N,Y,0.2807,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
4,4,22,Y(Y),6,N,Y,0.6285,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
5,5,20,Y(Y),6,Y,Y,0.8428,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
6,6,20,Y(Y),6,N,Y,0.7714,0.9473,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
7,7,20,Y(Y),6,N,N,0.4692,0.6944,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
8,8,19,Y(Y),6,N,Y,0.5214,0.8157,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
9,9,18,Y(Y),6,N,Y,0.75,0.8947,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
10,10,17,Y(Y),6,N,Y,0.6214,0.7894,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
11,11,17,Y(Y),6,N,Y,0.5357,0.7894,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
12,12,17,Y(Y),6,N,N,0.5,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
13,13,15,Y(Y),6,N,Y,0.5464,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
14,14,15,Y(Y),6,N,Y,0.5321,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
15,15,13,Y(Y),6,N,Y,0.5428,0.921,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
16,16,12,Y(Y),6,N,Y,0.4071,0.9736,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
17,17,11,Y(Y),6,N,Y,0.6285,0.8157,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
18,18,10,Y(Y),6,Y,Y,0.9392,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
19,19,10,Y(Y),6,Y,N,0.9214,0.3157,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
20,20,10,Y(Y),6,N,Y,0.6285,0.7894,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
21,21,10,Y(Y),6,N,Y,0.6142,1,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
22,22,10,Y(Y),6,N,N,0.5357,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
23,23,9,Y(Y),6,N,Y,0.2571,0.8421,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
24,24,8,Y(Y),6,N,Y,0.6714,0.7894,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
25,25,7,Y(Y),6,N,Y,0.6,1,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
26,26,7,Y(Y),6,N,Y,0.5357,0.9473,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
27,27,7,Y(Y),6,N,N,0.3857,0.8157,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
28,28,6,Y(Y),6,N,Y,0.2769,0.8421,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
29,29,5,Y(Y),6,Y,Y,1,0.6315,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
30,30,5,Y(Y),6,N,Y,0.4769,0.75,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
31,31,5,Y(Y),6,N,Y,0.4642,0.6944,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
32,32,4,Y(Y),6,N,Y,0.6714,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
33,33,3,Y(Y),6,Y,Y,0.9357,0.7894,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
34,34,3,Y(Y),6,N,Y,0.7285,0.6842,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
35,35,2,Y(Y),6,N,Y,0.6642,0.7894,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
36,36,2,Y(Y),6,N,Y,0.6571,0.8684,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
37,37,2,Y(Y),6,N,Y,0.5692,0.8611,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
38,38,2,Y(Y),6,N,Y,0.425,0.8157,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
39,39,2,Y(Y),6,N,N,0.5071,0.9736,3,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
40,40,1,Y(Y),6,Y,Y,0.9464,0.6315,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
41,41,1,Y(Y),6,Y,Y,0.825,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
42,42,1,Y(Y),6,N,Y,0.8714,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
43,43,1,Y(Y),6,N,Y,0.7607,0.8421,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
44,44,1,Y(Y),6,N,Y,0.7333,0.8157,4,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
45,45,1,Y(Y),6,N,Y,0.4107,0.9736,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
46,46,1,Y(Y),6,N,Y,0.3384,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
47,47,1,Y(Y),6,N,Y,0.3076,0.7368,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
48,48,1,Y(Y),6,N,Y,0.2923,1,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
49,49,1,Y(Y),6,N,Y,0.2571,0.8421,2,Y,N,MAT2013-03-00,확률통계학 (Probability and Statistics),2024,1
