no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
1,1,36,Y(Y),1,Y,N,1,0.7894,4,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
2,2,35,Y(Y),6,N,Y,0.4461,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
3,3,35,Y(Y),6,N,Y,0.2384,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
4,4,25,Y(Y),6,N,Y,0.3076,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
5,5,25,Y(Y),6,N,Y,0.3,0.9736,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
6,6,25,Y(Y),6,N,N,0.4769,0.6315,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
7,7,23,Y(Y),6,N,Y,0.2538,0.7105,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
8,8,22,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
9,9,21,Y(Y),6,N,Y,0.4307,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
10,10,21,Y(Y),6,N,Y,0.3807,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
11,11,21,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
12,12,20,Y(Y),6,N,Y,0.2461,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
13,13,18,Y(Y),6,N,Y,0.8464,1,4,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
14,14,18,Y(Y),6,N,Y,0.6153,1,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
15,15,18,Y(Y),6,N,Y,0.3384,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
16,16,18,Y(Y),6,N,Y,0.3115,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
17,17,18,Y(Y),6,N,Y,0.3076,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
18,18,18,Y(Y),6,N,Y,0.2692,0.9473,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
19,19,18,Y(Y),5,N,Y,0.1846,0.5,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
20,20,17,Y(Y),6,N,Y,0.323,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
21,21,17,Y(Y),6,N,Y,0.3038,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
22,22,17,Y(Y),6,N,Y,0.2692,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
23,23,17,Y(Y),6,N,Y,0.2615,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
24,24,17,Y(Y),6,N,Y,0.2076,0.3684,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
25,25,16,Y(Y),6,N,Y,0.5769,0.8157,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
26,26,16,Y(Y),6,N,Y,0.3692,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
27,27,16,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
28,28,16,Y(Y),6,N,Y,0.3115,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
29,29,16,Y(Y),6,N,Y,0.223,0.6578,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
30,30,15,Y(Y),6,N,Y,0.473,0.6578,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
31,31,15,Y(Y),6,N,Y,0.3615,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
32,32,15,Y(Y),6,N,Y,0.3307,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
33,33,15,Y(Y),6,N,Y,0.2769,0.8684,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
34,34,15,Y(Y),6,N,Y,0.273,0.9736,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
35,35,14,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
36,36,14,Y(Y),6,N,Y,0.3153,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
37,37,14,Y(Y),6,N,Y,0.2923,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
38,38,13,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
39,39,13,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
40,40,13,Y(Y),6,N,Y,0.2884,0.8684,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
41,41,13,Y(Y),6,N,Y,0.2846,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
42,42,12,Y(Y),6,N,Y,0.3307,1,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
43,43,12,Y(Y),6,N,Y,0.2846,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
44,44,12,Y(Y),6,N,Y,0.2307,0.8157,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
45,45,12,Y(Y),6,N,N,0.523,0.8684,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
46,46,12,Y(Y),6,N,N,0.5038,0.921,3,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
47,47,11,Y(Y),6,N,Y,0.2884,0.9473,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
48,48,11,Y(Y),6,N,Y,0.2346,0.8947,2,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
49,49,10,Y(Y),6,Y,Y,1,1,4,Y,N,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1,최창열,최창열,"월7,8,수8",80.0,80.0,11.51,104.0
