course_code,course_name,year,semester,winning_threshold,inferred_class_size,priority_seats_used,competitive_seats,total_applicants,competitive_applicants,acceptance_rate,competition_ratio,max_winning_bid,avg_winning_bid,avg_all_bids,bid_std,bid_p25,bid_p75,dominant_winner_year,pct_winners_yr2,pct_winners_yr3,pct_winners_yr4,professor,lecture_time,classroom,capacity,major_quota,avg_mileage
CAS1102-01,객체지향프로그래밍 (OBJECT-ORIENTED PROGRAMMING),2025,1,1.0,89,2,87,122,120,0.725,1.3793,36.0,20.47,15.35,13.47,3.0,30.0,2,0.54,0.264,0.195,유영재,"월1,2,수2",공D504,80.0,48.0,15.3
CAS1102-01,객체지향프로그래밍 (OBJECT-ORIENTED PROGRAMMING),2026,1,1.0,34,1,33,34,33,1.0,1.0,16.0,6.3,6.3,5.14,1.0,12.0,2,0.515,0.424,0.061,이시윤,"화2,목2,3",공D504,100.0,100.0,6.47
CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,1,20.0,80,3,77,119,116,0.6638,1.5065,36.0,23.97,20.61,7.01,18.0,23.0,2,0.87,0.078,0.052,이수경,"화7/목8,9",공D504/동영상(중복수강불가),80.0,64.0,20.39
CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2025,2,1.0,61,2,59,61,59,1.0,1.0,36.0,13.24,13.24,10.39,2.0,21.5,2,0.593,0.237,0.169,이종민,"수5,금5,6",공D504,95.0,76.0,13.2
CAS2101-01,이산구조 (DISCRETE MATHEMATICS),2026,1,1.0,69,0,69,76,76,0.9079,1.1014,36.0,7.14,6.7,8.76,1.0,8.5,2,0.797,0.116,0.087,이진규,"화8,9,목7",공D508,75.0,60.0,6.7
CAS2101-02,이산구조 (DISCRETE MATHEMATICS),2025,1,1.0,42,0,42,45,45,0.9333,1.0714,34.0,5.31,5.04,7.09,1.0,6.0,2,0.738,0.19,0.071,백종덕,"화7/목8,9",공학원170E/공B038,80.0,64.0,5.04
CAS2101-02,이산구조 (DISCRETE MATHEMATICS),2026,1,1.0,75,0,75,77,77,0.974,1.0267,36.0,10.49,10.25,7.75,5.0,14.0,2,0.853,0.093,0.053,이종민,"화8,9,목7",공D408,75.0,60.0,10.25
CAS2103-01,자료구조 (DATA STRUCTURE),2025,1,1.0,28,0,28,50,50,0.56,1.7857,36.0,19.64,16.38,11.89,6.0,23.0,2,0.786,0.143,0.071,안형찬,"수5,금5,6",공D504,60.0,48.0,16.38
CAS2103-01,자료구조 (DATA STRUCTURE),2025,2,1.0,40,1,39,63,62,0.629,1.5897,36.0,19.79,16.48,10.85,7.0,24.75,2,0.615,0.154,0.231,한요섭,"화5,6,목4",공학원170E,75.0,60.0,16.41
CAS2103-01,자료구조 (DATA STRUCTURE),2026,1,1.0,39,0,39,40,40,0.975,1.0256,36.0,11.77,11.5,12.52,1.0,24.25,2,0.718,0.103,0.179,안형찬,"수5,금5,6",공D408,75.0,60.0,11.5
CAS2103-02,자료구조 (DATA STRUCTURE),2025,1,36.0,60,5,55,167,162,0.3395,2.9455,36.0,36.0,32.19,7.56,31.0,36.0,2,0.745,0.127,0.127,황성재,"수5,금5,6",공학원170E,60.0,48.0,31.58
CAS2103-02,자료구조 (DATA STRUCTURE),2026,1,13.0,77,0,77,98,98,0.7857,1.2727,36.0,35.7,32.48,9.32,36.0,36.0,2,0.714,0.234,0.052,황성재,"수5,금5,6",공D504,75.0,60.0,32.48
CAS2103-03,자료구조 (DATA STRUCTURE),2025,1,1.0,48,1,47,67,66,0.7121,1.4043,36.0,11.83,11.42,10.78,2.0,16.75,2,0.766,0.106,0.128,김지응,"수5,금5,6",공D508,60.0,48.0,11.43
