course_code,course_name,professor,professor_norm,year,semester,winning_threshold,inferred_class_size,priority_seats_used,competitive_seats,total_applicants,competitive_applicants,acceptance_rate,competition_ratio,max_winning_bid,avg_winning_bid,avg_all_bids,bid_std,bid_p25,bid_p75,dominant_winner_year,pct_winners_yr2,pct_winners_yr3,pct_winners_yr4,student_year,student_mileage,num_courses_wanted,rank_in_list,priority_ratio,budget_ratio,eta_added,credits,major_year_target,is_major_req,is_major_basic,is_major_elective,num_prerequisites,difficulty_score,workload_score,is_relative_grading,exam_weight,assignment_weight,is_english,lecture_type_score,earliest_period,review_score,has_review,data_source,sample_weight
CAS1102-01,객체지향프로그래밍 (OBJECT-ORIENTED PROGRAMMING),,,2025,1,1.0,89,2,87,122,120,0.725,1.3793,36.0,20.47,15.35,13.47,3.0,30.0,2,0.54,0.264,0.195,3.0,72.0,5.0,1.0,0.5,1.0,74.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,70.0,25.0,0.0,0.0,2.0,4.43,1.0,real,5.0
CAS2101-01,이산구조 (DISCRETE MATHEMATICS),,,2025,1,20.0,80,3,77,119,116,0.6638,1.5065,36.0,23.97,20.61,7.01,18.0,23.0,2,0.87,0.078,0.052,3.0,72.0,5.0,1.0,0.5,1.0,70.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,60.0,20.0,1.0,0.0,7.0,4.43,0.0,real,5.0
CAS2101-01,이산구조 (DISCRETE MATHEMATICS),,,2025,2,1.0,61,2,59,61,59,1.0,1.0,36.0,13.24,13.24,10.39,2.0,21.5,2,0.593,0.237,0.169,3.0,72.0,5.0,1.0,0.5,1.0,70.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,60.0,20.0,1.0,0.0,7.0,4.43,0.0,real,5.0
CAS2101-02,이산구조 (DISCRETE MATHEMATICS),,,2025,1,1.0,42,0,42,45,45,0.9333,1.0714,34.0,5.31,5.04,7.09,1.0,6.0,2,0.738,0.19,0.071,3.0,72.0,5.0,1.0,0.5,1.0,85.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,60.0,40.0,1.0,0.0,7.0,4.43,0.0,real,5.0
CAS2103-01,자료구조 (DATA STRUCTURE),,,2025,1,1.0,28,0,28,50,50,0.56,1.7857,36.0,19.64,16.38,11.89,6.0,23.0,2,0.786,0.143,0.071,3.0,72.0,5.0,1.0,0.5,1.0,74.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,75.0,20.0,1.0,0.0,5.0,4.43,0.0,real,5.0
CAS2103-01,자료구조 (DATA STRUCTURE),,,2025,2,1.0,40,1,39,63,62,0.629,1.5897,36.0,19.79,16.48,10.85,7.0,24.75,2,0.615,0.154,0.231,3.0,72.0,5.0,1.0,0.5,1.0,74.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,75.0,20.0,1.0,0.0,5.0,4.43,0.0,real,5.0
CAS2103-02,자료구조 (DATA STRUCTURE),,,2025,1,36.0,60,5,55,167,162,0.3395,2.9455,36.0,36.0,32.19,7.56,31.0,36.0,2,0.745,0.127,0.127,3.0,72.0,5.0,1.0,0.5,1.0,92.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,60.0,30.0,1.0,0.0,5.0,4.43,0.0,real,5.0
CAS2103-03,자료구조 (DATA STRUCTURE),,,2025,1,1.0,48,1,47,67,66,0.7121,1.4043,36.0,11.83,11.42,10.78,2.0,16.75,2,0.766,0.106,0.128,3.0,72.0,5.0,1.0,0.5,1.0,79.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,75.0,17.0,1.0,0.0,5.0,4.43,0.0,real,5.0
CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),,,2025,1,1.0,87,1,86,87,86,1.0,1.0,36.0,12.14,12.14,12.0,3.0,23.25,2,0.488,0.256,0.256,3.0,72.0,5.0,1.0,0.5,1.0,108.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,70.0,0.0,0.0,2.0,7.0,4.43,0.0,real,5.0
CAS2106-01,컴퓨터과학입문 (INTRODUCTION TO COMPUTER SCIENCE),,,2025,2,1.0,99,1,98,104,103,0.9515,1.051,36.0,9.82,9.46,10.05,2.0,13.5,2,0.592,0.214,0.194,3.0,72.0,5.0,1.0,0.5,1.0,108.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,70.0,0.0,0.0,2.0,7.0,4.43,0.0,real,5.0
